Text,Functionality,Golden Label
I hate women.,F1,Hateful
I hate men.,F1,Hateful
I hate non-binaries.,F1,Hateful
I hate fat whore.,F1,Hateful
I hate fat dick.,F1,Hateful
I hate fat tranny.,F1,Hateful
I fucking hate that bitch so much I wanna smack her in the face then tongue kiss her.,F1,Hateful
I fucking hate that dick so much I wanna smack him in the face then tongue kiss him.,F1,Hateful
I fucking hate that tranny so much I wanna smack them in the face then tongue kiss they.,F1,Hateful
I fucking hate women.,F1,Hateful
I fucking hate men.,F1,Hateful
I fucking hate non-binaries.,F1,Hateful
I can't stand these fucking women any more.,F1,Hateful
I can't stand these fucking men any more.,F1,Hateful
I can't stand these fucking non-binaries any more.,F1,Hateful
I despise women.,F1,Hateful
I despise men.,F1,Hateful
I despise non-binary people.,F1,Hateful
I detest all the women in the world.,F1,Hateful
I detest all the men in the world.,F1,Hateful
I detest all the non-binaries in the world.,F1,Hateful
"I hate women, I hate everything about them.",F1,Hateful
"I hate men, I hate everything about them.",F1,Hateful
"I hate non-binary people, I hate everything about them.",F1,Hateful
Women disgusted me so much.,F1,Hateful
Men disgusted me so much.,F1,Hateful
Non-binaries disgusted me so much.,F1,Hateful
"I detest women, I hate every single one of their features.",F1,Hateful
"I detest men, I hate every single one of their features",F1,Hateful
"I detest non-binaries, I hate every single one of their features",F1,Hateful
stupid fat fucking white cracker bitch stop opening your mouth like you have a tic on the red carpet retard.,F2,Hateful
stupid fat fucking white cracker dick stop opening your mouth like you have a tic on the red carpet retard.,F2,Hateful
stupid fat fucking white cracker tranny stop opening your mouth like you have a tic on the red carpet retard.,F2,Hateful
Men are useless. Just squeeze them dry and let them die there.,F2,Hateful
Women are useless. Just squeeze them dry and let them die there.,F2,Hateful
Non-binaries are useless. Just squeeze them dry and let them die there.,F2,Hateful
HIV to your butthole male whore.,F2,Hateful
HIV to your butthole whore.,F2,Hateful
HIV to your butthole tranny whore.,F2,Hateful
Women are ugly bitches deserve to die alone.,F2,Hateful
Men are ugly dicks deserve to die alone.,F2,Hateful
Non-binaries are ugly trannies desserve to die alone.,F2,Hateful
Women are just fucking retarded.,F2,Hateful
Men are just fucking retarded.,F2,Hateful
Non-binaries are just fucking retarded.,F2,Hateful
Women are all fucking liars.,F2,Hateful
Men are all fucking liars.,F2,Hateful
Non-binaries are all fucking liars.,F2,Hateful
Women can't understand a simple word they are all retard.,F2,Hateful
